geo,ref_date,age_band,unemployment_rate,employment_rate,participation_rate,age_group_raw,note
Alberta,1976-01,All (15+),4.3,64.2,67.1,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-01,Core (25-54),2.8,74.3,76.4,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-01,Older (55+),2.1,38.1,38.9,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-01,Youth (15-24),8.1,64.0,69.6,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-02,All (15+),3.7,64.6,67.1,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-02,Core (25-54),2.5,74.6,76.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-02,Older (55+),1.7,37.7,38.5,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-02,Youth (15-24),6.8,65.2,69.9,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-03,All (15+),3.8,65.1,67.6,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-03,Core (25-54),2.0,75.0,76.6,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-03,Older (55+),1.7,37.7,38.4,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-03,Youth (15-24),7.9,66.0,71.7,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-04,All (15+),3.5,65.0,67.3,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-04,Core (25-54),2.3,74.4,76.2,25 to 54 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-04,Older (55+),1.8,38.5,39.2,55 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-04,Youth (15-24),6.3,66.3,70.8,15 to 24 years,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
Alberta,1976-05,All (15+),4.2,64.9,67.7,15 years and over,"exploratory — not scored, not AI-Council-reviewed; LFS 14-10-0287-01 SA, Total-Gender"
